Date,Gold_Bees
02-01-2009,13.36999989
05-01-2009,13.15550041
06-01-2009,13.03999996
07-01-2009,13.21500015
09-01-2009,13.16889954
12-01-2009,13.09000015
13-01-2009,12.96539974
14-01-2009,13.02000046
15-01-2009,12.86400032
16-01-2009,13
19-01-2009,13.10000038
20-01-2009,13.07229996
21-01-2009,13.44999981
22-01-2009,13.35999966
23-01-2009,13.5
27-01-2009,13.69200039
28-01-2009,13.5
29-01-2009,13.45979977
30-01-2009,14
02-02-2009,14.01000023
03-02-2009,13.87150002
04-02-2009,13.82400036
05-02-2009,13.93999958
06-02-2009,13.94250011
09-02-2009,13.88000011
10-02-2009,13.86999989
11-02-2009,14.14099979
12-02-2009,14.47999954
13-02-2009,14.40149975
16-02-2009,14.53849983
17-02-2009,15.03999996
18-02-2009,15.44400024
19-02-2009,15.37030029
20-02-2009,15.45040035
24-02-2009,15.44499969
25-02-2009,14.97999954
26-02-2009,14.90100002
27-02-2009,15.07900047
02-03-2009,15.43000031
03-03-2009,15.10000038
04-03-2009,14.9144001
05-03-2009,14.89999962
06-03-2009,15.26599979
09-03-2009,15.2638998
12-03-2009,14.93099976
13-03-2009,15
16-03-2009,15.02120018
17-03-2009,14.93999958
18-03-2009,14.89000034
19-03-2009,14.90250015
20-03-2009,15.29969978
23-03-2009,15.31999969
24-03-2009,15.14900017
25-03-2009,14.89000034
26-03-2009,15.06999969
27-03-2009,15.06999969
30-03-2009,15.10000038
31-03-2009,14.9343996
01-04-2009,14.89999962
02-04-2009,14.72000027
06-04-2009,14.03999996
08-04-2009,14.36989975
09-04-2009,14.18700027
13-04-2009,14.22990036
15-04-2009,14.24100018
16-04-2009,14.21010017
17-04-2009,13.91100025
20-04-2009,14.01000023
21-04-2009,14.25990009
22-04-2009,14.25
23-04-2009,14.27000046
24-04-2009,14.59990025
27-04-2009,14.63899994
28-04-2009,14.51000023
29-04-2009,14.37989998
04-05-2009,14.24790001
05-05-2009,14.28919983
06-05-2009,14.33889961
07-05-2009,14.43000031
08-05-2009,14.44979954
11-05-2009,14.39999962
12-05-2009,14.44929981
13-05-2009,14.64000034
14-05-2009,14.63000011
15-05-2009,14.60550022
18-05-2009,14.62959957
19-05-2009,14.07999992
20-05-2009,14.06000042
21-05-2009,14.22999954
22-05-2009,14.34000015
25-05-2009,14.38000011
26-05-2009,14.38000011
27-05-2009,14.41499996
28-05-2009,14.52000046
29-05-2009,14.67000008
01-06-2009,14.80000019
02-06-2009,14.64009953
03-06-2009,14.72500038
04-06-2009,14.61999989
05-06-2009,14.79399967
08-06-2009,14.58889961
09-06-2009,14.4034996
10-06-2009,14.57499981
11-06-2009,14.53499985
12-06-2009,14.42000008
15-06-2009,14.30099964
16-06-2009,14.34000015
17-06-2009,14.29339027
18-06-2009,14.40999985
19-06-2009,14.36999989
22-06-2009,14.30000019
23-06-2009,14.31000042
24-06-2009,14.39000034
25-06-2009,14.48999977
26-06-2009,14.56099987
29-06-2009,14.42010021
30-06-2009,14.42549992
01-07-2009,14.31999969
02-07-2009,14.36499977
03-07-2009,14.30000019
06-07-2009,14.4151001
07-07-2009,14.47999954
08-07-2009,14.47649956
09-07-2009,14.37020016
10-07-2009,14.31739998
13-07-2009,14.46800041
14-07-2009,14.5
15-07-2009,14.53999996
16-07-2009,14.69999981
17-07-2009,14.71500015
20-07-2009,14.73989964
21-07-2009,14.77799988
22-07-2009,14.73999977
23-07-2009,14.86900043
24-07-2009,14.7730999
27-07-2009,14.83100033
28-07-2009,14.79899979
29-07-2009,14.56499958
30-07-2009,14.51099968
31-07-2009,14.55790043
03-08-2009,14.68739986
04-08-2009,14.63339996
05-08-2009,14.77999973
06-08-2009,14.80000019
07-08-2009,14.84000015
10-08-2009,14.76500034
11-08-2009,14.63599968
12-08-2009,14.72500038
13-08-2009,14.81999969
14-08-2009,14.85999966
17-08-2009,14.75500011
18-08-2009,14.73612976
19-08-2009,14.67389965
20-08-2009,14.80447006
21-08-2009,14.78514004
24-08-2009,14.92000008
25-08-2009,14.88990021
26-08-2009,14.93999958
27-08-2009,14.88000011
28-08-2009,14.94999981
31-08-2009,15.05000019
01-09-2009,14.99199963
02-09-2009,15.11950016
03-09-2009,15.56550026
04-09-2009,15.56000042
07-09-2009,15.67000008
08-09-2009,15.72500038
09-09-2009,15.55220032
10-09-2009,15.42000008
11-09-2009,15.68000031
14-09-2009,15.69999981
15-09-2009,15.68200016
16-09-2009,15.89000034
17-09-2009,15.82499981
18-09-2009,15.76099968
22-09-2009,15.77000046
23-09-2009,15.72999954
24-09-2009,15.68000031
25-09-2009,15.47480011
29-09-2009,15.37030029
30-09-2009,15.46850014
01-10-2009,15.5
05-10-2009,15.40499973
06-10-2009,15.5
07-10-2009,15.75010014
08-10-2009,15.75
09-10-2009,15.67000008
12-10-2009,15.77999973
13-10-2009,15.74790001
14-10-2009,15.81999969
15-10-2009,15.60999966
16-10-2009,15.62650013
20-10-2009,15.75
21-10-2009,15.72789955
22-10-2009,15.78999996
23-10-2009,15.78999996
26-10-2009,15.74489975
27-10-2009,15.64999962
28-10-2009,15.64999962
29-10-2009,15.63000011
30-10-2009,15.72999954
03-11-2009,15.94999981
04-11-2009,16.42499924
05-11-2009,16.44000053
06-11-2009,16.4034996
09-11-2009,16.51499939
10-11-2009,16.47500038
11-11-2009,16.57999992
12-11-2009,16.68000031
13-11-2009,16.52219963
16-11-2009,16.76889992
17-11-2009,16.82250023
18-11-2009,17.04000092
19-11-2009,16.96209908
20-11-2009,17.09000015
23-11-2009,17.39990044
24-11-2009,17.4715004
25-11-2009,17.52000046
26-11-2009,17.68000031
27-11-2009,17.42000008
30-11-2009,17.45000076
01-12-2009,17.79949951
02-12-2009,18
03-12-2009,18.03000069
04-12-2009,17.86499977
07-12-2009,17.17000008
08-12-2009,17.37999916
09-12-2009,17.01000023
10-12-2009,16.87000084
11-12-2009,17
14-12-2009,16.82999992
